scenario_id,scenario_name,category,people,expense_id,expense_description,paid_by,amount,currency,split_type,split_among,split_values,expected_net_balances,expected_simplified_settlements,notes
S01,Two friends dinner,simple,"Alice,Bob",E01,Dinner at taco place,Alice,40.00,USD,equal,"Alice,Bob","20,20","Alice:+20.00; Bob:-20.00","Bob pays Alice 20.00",Classic 2-person equal split
S02,Three way equal groceries,simple,"Alice,Bob,Carol",E01,Weekly groceries,Bob,90.00,USD,equal,"Alice,Bob,Carol","30,30,30","Alice:-30.00; Bob:+60.00; Carol:-30.00","Alice pays Bob 30.00; Carol pays Bob 30.00",One payer three equal shares
S03,Trip hotel one payer,travel,"Alice,Bob,Carol,Dave",E01,Airbnb 4 nights,Alice,800.00,USD,equal,"Alice,Bob,Carol,Dave","200,200,200,200","Alice:+600.00; Bob:-200.00; Carol:-200.00; Dave:-200.00","Bob pays Alice 200.00; Carol pays Alice 200.00; Dave pays Alice 200.00",Large shared lodging
S04,Trip mixed expenses,travel,"Alice,Bob,Carol",E01,Flights booked by Alice,Alice,600.00,USD,equal,"Alice,Bob,Carol","200,200,200",,,Part 1 of multi-expense trip
S04,Trip mixed expenses,travel,"Alice,Bob,Carol",E02,Hotel paid by Bob,Bob,450.00,USD,equal,"Alice,Bob,Carol","150,150,150",,,Part 2
S04,Trip mixed expenses,travel,"Alice,Bob,Carol",E03,Food paid by Carol,Carol,120.00,USD,equal,"Alice,Bob,Carol","40,40,40","Alice:+210.00; Bob:+60.00; Carol:-270.00","Carol pays Alice 210.00; Carol pays Bob 60.00","Nets: Alice 600-200-150-40=+210; Bob 450-200-150-40=+60; Carol 120-200-150-40=-270"
S05,Uneven exact amounts,unequal,"Alice,Bob,Carol",E01,Grocery items,Alice,55.00,USD,exact,"Alice,Bob,Carol","10.00,20.00,25.00","Alice:+45.00; Bob:-20.00; Carol:-25.00","Bob pays Alice 20.00; Carol pays Alice 25.00",Itemized exact split
S06,Percent split rent,unequal,"Alice,Bob,Carol",E01,September rent,Alice,2000.00,USD,percent,"Alice,Bob,Carol","50,30,20","Alice:+1000.00; Bob:-600.00; Carol:-400.00","Bob pays Alice 600.00; Carol pays Alice 400.00",Alice 50% Bob 30% Carol 20%
S07,Shares split utilities,unequal,"Alice,Bob,Carol,Dave",E01,Electric bill,Dave,120.00,USD,shares,"Alice,Bob,Carol,Dave","1,1,1,3","Alice:-20.00; Bob:-20.00; Carol:-20.00; Dave:+60.00","Alice pays Dave 20.00; Bob pays Dave 20.00; Carol pays Dave 20.00",Dave uses 3 shares others 1; total 6 shares
S08,Debt simplification cycle,simplification,"Alice,Bob,Carol",E01,Alice paid for Bob,Alice,30.00,USD,exact,"Bob","30.00",,,A->B 30
S08,Debt simplification cycle,simplification,"Alice,Bob,Carol",E02,Bob paid for Carol,Bob,30.00,USD,exact,"Carol","30.00",,,B->C 30
S08,Debt simplification cycle,simplification,"Alice,Bob,Carol",E03,Carol paid for Alice,Carol,30.00,USD,exact,"Alice","30.00","Alice:0.00; Bob:0.00; Carol:0.00",none,Circular debts cancel to zero
S09,Minimize transactions,simplification,"Alice,Bob,Carol,Dave",E01,Alice covered group dinner,Alice,100.00,USD,equal,"Alice,Bob,Carol,Dave","25,25,25,25",,,
S09,Minimize transactions,simplification,"Alice,Bob,Carol,Dave",E02,Dave covered taxi,Dave,40.00,USD,equal,"Alice,Bob,Carol,Dave","10,10,10,10","Alice:+65.00; Bob:-35.00; Carol:-35.00; Dave:+5.00","Bob pays Alice 35.00; Carol pays Alice 30.00; Carol pays Dave 5.00","Nets: Alice 100-25-10=+65; Bob 0-25-10=-35; Carol 0-25-10=-35; Dave 40-25-10=+5. Greedy: Bob->Alice 35, Carol->Alice 30 then Carol->Dave 5. Alternative equally valid: Bob->Alice 35, Carol->Alice 35, Alice->Dave 5"
